Orthogroup	yHMPu5000034610_saturnispora_hagleri_160519.final	yHMPu5000034611_saturnispora_mendoncae_160519.haplomerger2.final	yHMPu5000034612_saturnispora_saitoi_180604.final	yHMPu5000034613_saturnispora_serradocipensis_180604.final	yHMPu5000034614_saturnispora_silvae_180604.final	yHMPu5000034615_saturnispora_zaruensis_160519.final	yHMPu5000035659_saturnispora_dispora_160519.final
OG0000018	g003145.m1, g003146.m1, g003193.m1	g001881.m1, g002024.m1, g002099.m1, g002100.m1	g000413.m1, g000414.m1, g000460.m1	g004503.m1, g004550.m1, g004551.m1	g003028.m1, g003029.m1, g003235.m1	g000165.m1, g000211.m1, g000212.m1	g001631.m1, g001676.m1, g001677.m1
OG0000019	g001303.m1, g002885.m1, g005126.m1	g000946.m1, g002154.m1, g003303.m1	g000050.m1, g000207.m1, g004702.m1	g000624.m1, g000890.m1, g002605.m1	g000805.m1, g003490.m1, g004748.m1	g000415.m1, g003029.m1, g004356.m1	g000155.m1, g003257.m1, g003328.m1
OG0000020	g002034.m1, g002035.m1, g002037.m1	g001832.m1, g002048.m1, g003984.m1	g004360.m1, g004361.m1, g004363.m1	g003827.m1, g003828.m1, g003829.m1	g002976.m1, g003335.m1, g003881.m1	g002750.m1, g002752.m1, g002753.m1	g004780.m1, g004781.m1, g004783.m1
OG0000021	g003733.m1, g003734.m1, g004486.m1	g003035.m1, g003427.m1, g003428.m1, g003429.m1	g002881.m1, g002882.m1, g003301.m1	g002182.m1, g002183.m1	g000170.m1, g000171.m1, g000172.m1, g001203.m1, g003555.m1	g001803.m1, g003895.m1, g003896.m1	g000769.m1
OG0000022	g004076.m1			g001588.m1			g000481.m1, g000486.m1, g000627.m1, g000759.m1, g000760.m1, g000761.m1, g000762.m1, g000763.m1, g000764.m1, g000892.m1, g000894.m1, g000998.m1, g001005.m1, g001146.m1, g001147.m1, g001274.m1, g002279.m1, g004986.m1
OG0000023	g002772.m1, g004049.m1, g004078.m1, g004550.m1	g003778.m1, g004383.m1	g001848.m1, g003364.m1	g002813.m1, g002814.m1, g004192.m1, g004301.m1	g001253.m1, g005118.m1, g005203.m1	g001525.m1, g001862.m1	g004021.m1, g004149.m1
OG0000024	g000838.m1, g004367.m1, g004827.m1, g004997.m1	g002691.m1, g003691.m1, g004159.m1	g002682.m1, g003207.m1	g000658.m1, g000832.m1, g001013.m1, g001311.m1, g004457.m1, g004731.m1		g002156.m1	g004819.m1, g005137.m1
OG0000025	g000235.m1, g001677.m1, g004017.m1	g000996.m1, g003506.m1	g002271.m1, g002952.m1	g002114.m1, g003165.m1, g004047.m1	g000347.m1, g005311.m1	g002439.m1, g003450.m1, g003963.m1	g000836.m1, g002001.m1, g004602.m1
OG0000026	g004026.m1, g004027.m1, g004223.m1	g000692.m1	g001351.m1, g005300.m1	g001598.m1, g001736.m1, g001737.m1	g000499.m1	g000862.m1, g001264.m1, g003112.m1, g003113.m1, g004195.m1	g001469.m1, g001470.m1, g003756.m1
OG0000027	g000801.m1, g003739.m1	g000348.m1, g001181.m1, g003433.m1	g002079.m1, g002876.m1	g002188.m1, g004424.m1, g005202.m1	g000166.m1, g002651.m1	g001598.m1, g003261.m1, g003890.m1	g003077.m1, g003557.m1
OG0000028	g001219.m1, g003363.m1, g004635.m1			g004012.m1, g004433.m1		g004476.m1, g004481.m1, g004482.m1, g004722.m1, g004723.m1, g004728.m1	g001899.m1, g001903.m1, g002093.m1, g002278.m1, g002608.m1, g004306.m1
OG0000029	g001771.m1, g003092.m1, g004016.m1	g001826.m1, g002432.m1	g000359.m1, g003939.m1	g003617.m1, g004048.m1, g004603.m1	g001890.m1, g001891.m1, g003341.m1	g000268.m1, g004533.m1	g001299.m1, g002847.m1
OG0000030	g001796.m1, g001801.m1	g002573.m1, g002575.m1, g002687.m1	g003907.m1, g003909.m1, g003914.m1	g003642.m1, g003647.m1	g001916.m1, g001921.m1, g001924.m1	g004558.m1, g004563.m1	g002872.m1, g002877.m1
OG0000031	g002462.m1, g002463.m1, g002464.m1	g000172.m1	g004140.m1, g004141.m1, g004142.m1	g000290.m1, g000291.m1, g000292.m1	g001742.m1	g004768.m1, g004769.m1, g004770.m1	g000603.m1, g000604.m1, g000605.m1
OG0000032	g001872.m1, g003942.m1, g004430.m1, g004640.m1, g004643.m1, g004819.m1, g004822.m1, g004824.m1, g005184.m1	g002692.m1		g000652.m1, g000653.m1, g000657.m1, g004728.m1, g005140.m1			g000352.m1, g004823.m1
OG0000033	g000309.m1, g000791.m1	g000092.m1, g001069.m1, g001192.m1	g002067.m1, g002196.m1, g004052.m1	g003238.m1, g005212.m1	g002533.m1, g002662.m1	g003251.m1, g003377.m1	g001927.m1, g003546.m1
OG0000034	g000869.m1	g002690.m1, g003121.m1	g000626.m1, g002471.m1, g004876.m1, g005182.m1, g005185.m1	g001441.m1, g002979.m1, g004462.m1	g000770.m1	g000001.m1, g001612.m1	g004508.m1, g005130.m1
OG0000035	g000292.m1, g001608.m1	g001051.m1, g002050.m1	g001305.m1, g002213.m1, g002683.m1	g003222.m1, g005125.m1	g002977.m1, g003925.m1, g005254.m1	g003393.m1, g005129.m1	g000363.m1, g001944.m1
OG0000036	g001063.m1, g002504.m1	g002915.m1, g004532.m1	g001165.m1, g003114.m1, g004556.m1	g001952.m1, g004989.m1	g000394.m1, g003110.m1	g004120.m1, g004994.m1	g001726.m1, g003846.m1
OG0000037	g000134.m1, g004117.m1, g004429.m1	g002577.m1, g002936.m1	g003635.m1, g005150.m1	g001178.m1, g001702.m1, g004939.m1	g002489.m1, g002490.m1	g001594.m1, g003553.m1	g002151.m1
OG0000038	g000294.m1, g004197.m1	g000718.m1, g000719.m1, g001052.m1	g002212.m1, g005273.m1	g001625.m1, g003223.m1	g000633.m1, g005253.m1	g000888.m1, g003392.m1	g001943.m1, g003729.m1
OG0000039	g002276.m1, g002933.m1	g002481.m1, g004127.m1	g003054.m1, g004507.m1	g002011.m1, g002759.m1	g000248.m1, g003744.m1, g003745.m1	g002611.m1, g004061.m1	g001517.m1, g002984.m1
OG0000040	g003289.m1, g003290.m1	g002655.m1, g002656.m1, g002657.m1	g004645.m1, g004646.m1	g003315.m1, g003316.m1	g004408.m1, g004409.m1	g004410.m1, g004411.m1	g003230.m1, g003231.m1
OG0000041	g003205.m1, g003206.m1, g003207.m1	g004021.m1, g004022.m1, g004023.m1	g004403.m1, g004404.m1	g004490.m1, g004491.m1	g003849.m1	g002710.m1, g002711.m1, g002712.m1	g001620.m1
OG0000042	g004109.m1, g004298.m1	g002247.m1, g003173.m1	g002525.m1, g005377.m1, g005378.m1	g001382.m1, g003604.m1	g004060.m1, g004910.m1	g000786.m1, g001680.m1	g000699.m1, g004796.m1
OG0000043	g003881.m1, g004425.m1	g002600.m1, g002601.m1	g002735.m1, g003228.m1	g002479.m1, g004869.m1	g004463.m1, g004464.m1, g004465.m1	g002486.m1, g003748.m1	g002740.m1, g004608.m1
OG0000044	g000820.m1, g004233.m1	g000683.m1, g001163.m1	g002097.m1, g005310.m1	g001318.m1, g005184.m1	g002633.m1, g003994.m1	g000852.m1, g003278.m1	g000633.m1, g003576.m1
OG0000045	g001062.m1, g004177.m1	g001649.m1, g004533.m1	g003115.m1, g005252.m1	g001646.m1, g001951.m1	g000395.m1, g005390.m1	g001537.m1, g004121.m1	g001727.m1, g002590.m1
OG0000046	g001088.m1, g001089.m1	g004509.m1	g001005.m1, g003088.m1, g003089.m1	g001977.m1, g001978.m1, g004055.m1	g000214.m1	g004094.m1, g004095.m1	g001701.m1, g001702.m1
OG0000047	g001225.m1, g004103.m1, g004403.m1	g002794.m1, g003179.m1	g004859.m1	g001012.m1, g003610.m1, g004110.m1	g002915.m1	g003686.m1	g001799.m1, g002276.m1, g002453.m1
OG0000048	g001193.m1, g001729.m1	g004668.m1, g004899.m1	g001032.m1, g004233.m1	g002897.m1, g003456.m1	g000526.m1, g001179.m1	g001202.m1, g004490.m1	g001877.m1, g003405.m1
OG0000049	g001267.m1, g003794.m1	g003270.m1, g003383.m1	g002822.m1, g004735.m1	g000589.m1, g004784.m1	g000117.m1, g002117.m1	g003836.m1, g004319.m1	g004535.m1, g005112.m1
OG0000050	g001357.m1, g001959.m1	g000553.m1, g004713.m1	g003776.m1, g004284.m1	g001564.m1, g002432.m1	g002047.m1, g003961.m1	g002826.m1, g004696.m1	g001029.m1, g004705.m1
OG0000051	g001395.m1, g004837.m1	g000515.m1, g001468.m1	g003814.m1, g004997.m1	g001526.m1, g003049.m1	g000974.m1, g002012.m1	g002259.m1, g004658.m1	g000262.m1, g001066.m1
OG0000052	g001509.m1, g004476.m1	g003091.m1, g003826.m1	g001813.m1, g003291.m1	g001848.m1, g004370.m1	g000579.m1, g005168.m1	g001416.m1, g001793.m1	g002074.m1, g004092.m1
OG0000053	g000618.m1, g002844.m1	g000398.m1, g003865.m1	g000919.m1, g003511.m1	g000052.m1, g003521.m1	g002801.m1, g004188.m1	g000527.m1, g002004.m1	g000963.m1, g004931.m1
OG0000054	g002230.m1, g004582.m1	g004083.m1, g004352.m1	g003397.m1, g004460.m1	g002802.m1, g004270.m1	g001221.m1, g003788.m1	g001892.m1, g002656.m1	g001563.m1, g003991.m1
OG0000055	g002317.m1, g005161.m1	g000975.m1, g002973.m1	g000018.m1, g001424.m1	g001812.m1, g002638.m1	g002450.m1, g004716.m1	g001339.m1, g003061.m1	g001395.m1, g003290.m1
OG0000056	g002331.m1, g002606.m1	g002391.m1, g002988.m1	g001410.m1, g004797.m1	g000531.m1, g001798.m1	g002178.m1, g002436.m1	g001325.m1, g004257.m1	g001409.m1, g005051.m1
OG0000057	g002750.m1, g002751.m1, g003943.m1, g003946.m1, g004048.m1	g003758.m1	g001870.m1	g002834.m1, g004931.m1	g000656.m1, g004396.m1	g001505.m1, g002485.m1	g003597.m1
OG0000058	g002763.m1, g002764.m1	g003769.m1, g003770.m1	g001857.m1, g001858.m1	g002822.m1, g002823.m1	g005107.m1, g005108.m1	g001516.m1, g001517.m1	g004140.m1, g004141.m1
OG0000059	g002803.m1, g003761.m1	g000846.m1, g003414.m1	g002856.m1, g003469.m1	g003562.m1, g004752.m1	g000146.m1, g004856.m1	g001963.m1, g003870.m1	g003056.m1, g004808.m1
OG0000060	g001948.m1, g005091.m1	g000912.m1, g004705.m1	g000087.m1, g004274.m1	g002421.m1, g002569.m1	g003972.m1, g004783.m1	g002837.m1, g002994.m1	g000035.m1, g004693.m1
OG0000061	g002119.m1	g000898.m1, g001969.m1, g002049.m1, g002085.m1, g002304.m1, g002795.m1, g002868.m1, g003977.m1	g000516.m1	g003912.m1	g003180.m1	g000110.m1	g004398.m1
OG0000062	g002203.m1, g004426.m1	g002965.m1, g003687.m1	g001561.m1, g003604.m1	g001071.m1, g002480.m1	g001437.m1, g002459.m1	g002097.m1, g002487.m1	g002513.m1, g004607.m1
OG0000063	g003476.m1, g003477.m1	g000045.m1, g000046.m1	g004001.m1, g004002.m1	g000426.m1, g000427.m1	g001821.m1, g001822.m1	g004906.m1, g004907.m1	g003155.m1, g003156.m1
OG0000064	g003504.m1	g000015.m1, g000017.m1, g000018.m1, g000019.m1	g003975.m1	g000453.m1, g004697.m1, g004916.m1	g001851.m1, g005354.m1, g005355.m1	g004934.m1	g003182.m1
OG0000065	g003510.m1, g005168.m1	g000980.m1, g001623.m1	g000014.m1, g001230.m1	g002645.m1, g005050.m1	g003050.m1, g004709.m1	g003068.m1, g005056.m1	g000438.m1, g003295.m1
OG0000066	g003522.m1, g004950.m1	g001575.m1, g001612.m1	g001219.m1, g005114.m1	g003366.m1, g005039.m1	g000812.m1, g003061.m1	g002374.m1, g005045.m1	g000449.m1, g001191.m1
OG0000067	g003740.m1, g004431.m1	g004234.m1	g005201.m1	g000831.m1, g001591.m1, g001830.m1, g002189.m1		g001223.m1	g000755.m1, g001269.m1, g001270.m1, g002005.m1, g005138.m1
OG0000068	g004114.m1, g004989.m1	g002046.m1, g004909.m1	g002658.m1, g005153.m1	g001704.m1, g003405.m1	g001376.m1, g001377.m1, g002974.m1	g001599.m1, g002412.m1	g001153.m1
OG0000069	g004146.m1, g004148.m1	g003651.m1	g000660.m1, g001331.m1, g002643.m1, g005198.m1, g005222.m1	g001676.m1	g001345.m1	g001566.m1, g001568.m1	g002559.m1, g002561.m1
OG0000070	g004498.m1, g004988.m1	g002047.m1, g003046.m1	g003313.m1, g005152.m1	g003404.m1, g004352.m1	g002274.m1, g002975.m1	g001815.m1, g002411.m1	g001154.m1, g004071.m1
OG0000071	g005074.m1, g005075.m1	g000896.m1, g000897.m1	g000102.m1, g000103.m1	g000996.m1, g000997.m1	g004802.m1, g004803.m1	g002979.m1, g002980.m1	g000050.m1, g000051.m1
OG0000072	g005077.m1		g000101.m1, g001307.m1, g003235.m1, g003746.m1, g004196.m1	g000998.m1, g000999.m1		g002981.m1, g002982.m1, g005131.m1	g000048.m1, g000049.m1, g000361.m1
OG0000073	g005164.m1	g000977.m1, g004452.m1, g004454.m1, g004455.m1	g001371.m1, g001855.m1	g002640.m1	g002390.m1, g002391.m1, g002392.m1, g004714.m1	g003063.m1	g003292.m1
